title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
7121,A Savage Proposal,ROMANCE,"Lee yuna,team IRUKA",MONDAY,3,210944,6.91,985251,60719,ONGOING,False,"When the ruthless Lord Tiwakan seizes the kingdom of Nauk, Princess Liene Arsac faces an impossible choice: marry her captor or watch her homeland crumble. But Lord Tiwakan isn’t just after power; he desires Liene, and his devotion stirs a mix of fear and undeniable attraction within her. With her former betrothed, Lafitte, still missing, Liene must decide whether to trust Tiwakan's promises or hold out hope for a rescue. As dangerous secrets come to light, Liene’s decision could change the fate of Nauk—and her own heart—forever."
7112,When Two Villains Meet,ROMANCE,"Lim Hayam,Sark,ssogariii",TUESDAY,7,109760,8.25,710046,61826,ONGOING,False,"Atalante is the boss of a notorious organization that works in the empire’s shadow. One day, she receives a request from the emperor to assassinate a new target: the tyrant archduke Lionel Vianc.
Reluctantly leaving behind her simple life with her members, Atalante heads off to perform the assassination, but for some reason… the archduke doesn’t die.
After a mixup between a love potion and poison, Atalante finds herself in a frustrating predicament as the tyrant archduke not only refuses to die… but has also fallen in love with her!
"
7111,My Avatars’ Path to Greatness,FANTASY,"TestSample,LICO,HANSA",SUNDAY,6,44859,9.36,281208,28053,ONGOING,False,"Seonghyeon Han is a victim of a violent crime that left him with impaired legs and a fear of the outside world. Now, he faces an even greater challenge: while he gained the power to create clones, he has just 24 hours before being sent to another dimension. As the countdown ticks down, Seonghyeon makes a desperate move -- he sends his clone through the interdimensional portal, and discovers his real body can remain safe at home. Thus begins the epic tale of Seonghyeon's... clones."
7110,My Blood-Curdling Campus Life,DRAMA,NIMNI,WEDNESDAY,8,54899,9.32,458387,47224,ONGOING,False,"A cute guy with an angelic face? Check. A cold and aloof outsider with a cat? Check. A class full of vampires? Check... Wait, what? All her life, Seonha Shin has lived in the shadow of her sister, Seonghye, who is one year older than her. Luckily, there is one thing Seonha does better than her sister -- donating blood! When Seonha gets special admission into a prestigious university as a blood donor, she finally starts to feel like the main character of her life. Little did she know she'd be surrounded by vampires!"
7109,Duchess in Ruins,ROMANCE,"Candlebambi,Saedle,Lemon Frog",MONDAY,3,163773,8.65,610486,57006,ONGOING,False,"Edele Lancaster is the perfect noble lady who has been groomed for the job. But when her husband whom she married reluctantly commits treason, she is branded a traitor and becomes a slave. Distraught, she tries to kill herself to preserve honor as a noble lady, but her new master, Count Laslo Krissus prevents her from doing so. Will Edele be able to find freedom and happiness in her new life as Count Krissus’ maid?"
7061,Worth the Candle,ACTION,"Alexander Wales,Betofu,Tristan Bellawala,WmW",WEDNESDAY,3,28747,9.57,72307,7884,ONGOING,False,"Juniper was always the Dungeon Master, never the player. He was always a creator of worlds rather than the one who walked within them…until now.

Somehow, the tables have turned in the most dramatic way possible. Juniper finds himself in a world filled with the wildest fantasies a mind could come up with, and his fingerprints are all over it.

Throughout this world, echoes of his own ideas and plots leave him feeling like he’s always one step behind. He finds bits and pieces of ancient influence strewn about every town he goes through. One thing is clear, though: Juniper walks this magical new world in someone else’s shadow.

It might all add up to something vital...if only he can survive long enough to figure it out."
7060,Surprise You're Gay!,COMEDY,laundromat&lawnmower,SUNDAY,3,65856,8.51,246663,34865,ONGOING,False,"Some are born gay, some achieve gayness, and some have gayness thrust upon them.

Sebastian has failed his Intro to Computer Science class two times already and now only has one more chance to pass. What can he do but ask Bianca, a local college scammer, to take his place for the entire semester? Will she be able to fool a professor who has met Sebastian before? Not to mention, what will happen when a girl named Chandler starts to develop a crush on ‘Sebastian’ A.K.A. Bianca? Bianca’s life is soon to be filled with drama, but she has no time for that. No, Bianca only has one goal—Don’t get caught. (A retelling of Shakespeare’s classic play, Twelfth Night.)  "
7059,New Magical Me,FANTASY,"Prinnstar,Chuuney,Greenie_Olivelie",TUESDAY,5,52982,9.27,264371,34889,ONGOING,False,"Erika is the city's strongest Magical Girl and leader of the dazzling Star Chroma group! But when she sacrifices herself to defeat the terrifying Spore Queen Miasma, it's up to her best friend Winnie to pick up the pieces. Or in this case, fall to pieces. 8 years later and Star Chroma is no more and Winnie is stuck in a dead end office job. But when the Spore Queen unexpectedly returns, Winnie will have to find a way to manage on her own. At least until an old friend reappears as well..."
7006,The Empress’s Two Wolves,ROMANCE,"LICO,Honey Bambi",SATURDAY,8,192835,8.68,1682635,140608,ONGOING,False,"In a world where destiny is branded on their skin, Sepia, the human empress of the beastkin empire, is threatened by a new rival: Titié, a white deer, with Demios the emperor’s name emblazoned on her chest. Amidst Titié’s malicious attempts, Sepia clings to her role as empress and the Star of Ishtar, determined to fulfill her destiny as the empire’s savior. Enter Roxan, a wolf beastkin and cousin to Demois, whose allure stirs Sepia’s feelings. In a web of love, loyalty, and deception, can Sepia reclaim her power and discover the truth of her heart?"
7005,Void Man,ACTION,KEON,SUNDAY,6,50454,8.93,299936,24504,ONGOING,False,"Gods have descended upon the world, and Da-il's ready to drag them all to hell. After the lives of his loved ones were taken by the gods, Da-il offers his soul in exchange for the powers of the very killer of gods, the Void."
